Price,Brand,Model,Reg_Date,Km,Capacity,Type
28400000.0,honda,winner x,2022.0,5000.0,100 - 175 cc,tay côn/moto
24800000.0,honda,air blade,2015.0,22000.0,100 - 175 cc,tay ga
55000000.0,honda,air blade,2022.0,123.0,100 - 175 cc,tay ga
85000000.0,honda,sh,2022.0,750.0,100 - 175 cc,tay ga
28500000.0,piaggio,primavera,2014.0,16000.0,100 - 175 cc,tay ga
80000000.0,piaggio,medley,2021.0,10000.0,100 - 175 cc,tay ga
20500000.0,honda,winner,2018.0,18000.0,100 - 175 cc,tay côn/moto
47000000.0,piaggio,vespa,2019.0,20000.0,100 - 175 cc,tay ga
65500000.0,honda,sh,2017.0,31000.0,100 - 175 cc,tay ga
12500000.0,piaggio,lx,2013.0,12500.0,100 - 175 cc,tay ga
9700000.0,honda,wave,2011.0,25000.0,50 - 100 cc,xe số
30500000.0,suzuki,satria,2022.0,100000.0,100 - 175 cc,tay côn/moto
40000000.0,yamaha,exciter,2022.0,3667.0,100 - 175 cc,tay côn/moto
23000000.0,honda,winner x,2020.0,19500.0,100 - 175 cc,tay côn/moto
37500000.0,honda,air blade,2021.0,4000.0,100 - 175 cc,tay ga
51000000.0,honda,vario,2022.0,5.0,100 - 175 cc,tay ga
24500000.0,yamaha,grande,2017.0,20000.0,100 - 175 cc,tay ga
69500000.0,honda,sh,2016.0,15000.0,100 - 175 cc,tay ga
36800000.0,honda,air blade,2019.0,11000.0,100 - 175 cc,tay ga
22000000.0,yamaha,grande,2016.0,12345.0,100 - 175 cc,tay ga
95000000.0,piaggio,gts,2020.0,9000.0,trên 175 cc,tay ga
62000000.0,honda,pcx,2021.0,3888.0,100 - 175 cc,tay ga
28500000.0,honda,lead,2018.0,17017.0,100 - 175 cc,tay ga
36000000.0,peugeot,django,2018.0,15000.0,100 - 175 cc,tay ga
12000000.0,ducati,monster,2017.0,30000.0,100 - 175 cc,tay côn/moto
18000000.0,yamaha,exciter,2016.0,12345.0,100 - 175 cc,tay côn/moto
23800000.0,honda,air blade,2014.0,25000.0,100 - 175 cc,tay ga
29800000.0,piaggio,gts,2015.0,19000.0,100 - 175 cc,tay ga
96000000.0,honda,sh,2022.0,1000.0,100 - 175 cc,tay ga
23800000.0,honda,lead,2014.0,12345.0,100 - 175 cc,tay ga
21900000.0,honda,lead,2016.0,6000.0,100 - 175 cc,tay ga
21900000.0,honda,lead,2016.0,6000.0,100 - 175 cc,tay ga
49000000.0,honda,vario,2023.0,100.0,100 - 175 cc,xe số
22800000.0,honda,winner x,2021.0,5000.0,100 - 175 cc,tay côn/moto
24000000.0,honda,vision,2018.0,20000.0,100 - 175 cc,tay ga
75000000.0,piaggio,gts,2018.0,8000.0,trên 175 cc,tay ga
39900000.0,honda,vario,2022.0,20000.0,100 - 175 cc,tay ga
43000000.0,piaggio,vespa,2015.0,19000.0,100 - 175 cc,tay ga
66000000.0,piaggio,sprint,2019.0,8000.0,100 - 175 cc,tay ga
89500000.0,honda,sh,2020.0,7000.0,100 - 175 cc,tay ga
46500000.0,honda,vario,2021.0,1.0,100 - 175 cc,tay ga
12500000.0,honda,wave,2014.0,26000.0,100 - 175 cc,xe số
15000000.0,honda,wave,2022.0,1000.0,100 - 175 cc,xe số
58000000.0,honda,sh mode,2020.0,100000.0,100 - 175 cc,tay ga
17800000.0,yamaha,exciter,2013.0,12345.0,100 - 175 cc,tay côn/moto
70000000.0,honda,sh,2017.0,11000.0,100 - 175 cc,tay ga
46000000.0,honda,sh,2015.0,34000.0,100 - 175 cc,tay ga
11000000.0,yamaha,sirius,2016.0,12345.0,100 - 175 cc,xe số
19500000.0,yamaha,exciter,2018.0,10000.0,100 - 175 cc,tay côn/moto
23200000.0,honda,lead,2013.0,12345.0,100 - 175 cc,tay ga
61800000.0,piaggio,primavera,2022.0,1500.0,100 - 175 cc,tay ga
16500000.0,honda,winner,2018.0,60000.0,100 - 175 cc,tay côn/moto
6900000.0,yamaha,nouvo,2011.0,60000.0,100 - 175 cc,tay ga
20800000.0,yamaha,exciter,2018.0,8000.0,100 - 175 cc,tay côn/moto
82000000.0,piaggio,sprint,2021.0,7000.0,100 - 175 cc,tay ga
8500000.0,yamaha,jupiter,2012.0,30000.0,100 - 175 cc,xe số
27500000.0,yamaha,exciter,2017.0,15000.0,100 - 175 cc,tay côn/moto
34000000.0,honda,vario,2020.0,20000.0,100 - 175 cc,tay ga
22500000.0,honda,air blade,2013.0,39000.0,100 - 175 cc,tay ga
9200000.0,honda,wave,2012.0,42368.0,100 - 175 cc,xe số
28000000.0,honda,air blade,2018.0,12000.0,100 - 175 cc,tay ga
38800000.0,honda,air blade,2022.0,8000.0,100 - 175 cc,tay ga
103000000.0,honda,sh,2020.0,11000.0,100 - 175 cc,tay ga
68500000.0,honda,sh,2019.0,20000.0,100 - 175 cc,tay ga
6900000.0,yamaha,nouvo,2010.0,70000.0,100 - 175 cc,tay ga
67000000.0,honda,vario,2018.0,30000.0,100 - 175 cc,tay ga
27500000.0,honda,lead,2018.0,4000.0,100 - 175 cc,tay ga
8500000.0,honda,lead,2010.0,70000.0,100 - 175 cc,tay ga
81000000.0,honda,sh,2020.0,12000.0,100 - 175 cc,tay ga
27500000.0,honda,air blade,2019.0,14000.0,100 - 175 cc,tay ga
123000000.0,piaggio,gts,2022.0,6000.0,100 - 175 cc,tay ga
33500000.0,piaggio,liberty,2014.0,37000.0,100 - 175 cc,tay ga
20500000.0,yamaha,jupiter,2020.0,12345.0,100 - 175 cc,xe số
43000000.0,honda,vario,2019.0,6000.0,100 - 175 cc,tay ga
37000000.0,honda,msx 125,2021.0,3.0,100 - 175 cc,tay côn/moto
39500000.0,honda,wave,2020.0,12345.0,100 - 175 cc,xe số
22000000.0,honda,lead,2017.0,90000.0,100 - 175 cc,tay ga
7900000.0,honda,wave,2007.0,90000.0,50 - 100 cc,xe số
19800000.0,yamaha,exciter,2016.0,12000.0,100 - 175 cc,tay côn/moto
7900000.0,honda,air blade,2007.0,55555.0,100 - 175 cc,tay ga
6500000.0,yamaha,sirius,2012.0,20000.0,100 - 175 cc,xe số
12800000.0,honda,wave,2016.0,12345.0,50 - 100 cc,xe số
20800000.0,yamaha,exciter,2020.0,8000.0,100 - 175 cc,tay côn/moto
36000000.0,piaggio,gts,2014.0,15000.0,100 - 175 cc,tay ga
16500000.0,yamaha,exciter,2015.0,30000.0,100 - 175 cc,tay côn/moto
28500000.0,honda,air blade,2019.0,20000.0,100 - 175 cc,tay ga
38800000.0,honda,air blade,2021.0,6000.0,100 - 175 cc,tay ga
38900000.0,honda,vario,2022.0,7000.0,100 - 175 cc,tay ga
73000000.0,honda,sh,2020.0,2800.0,100 - 175 cc,tay ga
