,Title,Price,Brand,Model,Reg_Date,Km,Condition,Capacity,Type,Location
9957,  Air blade bstp chính chủ(hỗ trợ góp),21.500.000 đ ,Honda,Air Blade,2014,30000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9958,  Honda SH125 date 2020 Xám Biển Sảnh 6.0123,86.500.000 đ ,Honda,SH,2021,1800,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9959,  Ex 1s9a,19.800.000 đ ,Yamaha,Exciter,2011,100000,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9960,  Exciter đèn led rất đẹp ( hỗ trợ góp bao nợ xấu),32.000.000 đ ,Yamaha,Exciter,2019,25000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,Sóc Trăng
9961,"  XM Mạnh Tường - AirBlade giá từ 26,5tr",26.500.000 đ ,Honda,Air Blade,2017,16000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9962,  ❤✅🌈SYM ELEGANT 50cc 2020 Mới 99% CÓ BÁN GÓP,9.300.000 đ ,SYM,Elegant,2020,2222,Đã sử dụng,Dưới 50 cc,Xe số,Sóc Trăng
9963,  Honda Click Thái 2018 mâm đồng bstp đúng 1 đời chủ,63.000.000 đ ,Honda,Click,2018,16000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9964,  vario bs 332.00(hỗ trợ góp),32.500.000 đ ,Honda,Vario,2020,100000,Đã sử dụng,Dưới 50 cc,Tay ga,Sóc Trăng
9965,"  cần lên đời nên bán rẻ cho chị em , máy móc êm ru",9.900.000 đ ,Piaggio,Vespa,2010,10000,Đã sử dụng,Dưới 50 cc,Tay ga,Sóc Trăng
9966, ,,,,,,,,,
9967,  Thanh lý xe công trình giá 3tr-->5tr,3.000.000 đ ,Honda,Wave,2011,8000,Đã sử dụng,50 - 100 cc,Xe số,Sóc Trăng
9968,  cần bán xe wave rs honda. bstp giấy tờ đầy đủ đk,8.500.000 đ ,Honda,Dòng khác,2008,2345,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9969,  Honda  ab đk 2012    xe chính chủ uỷ quyền,14.500.000 đ ,Honda,Air Blade,2012,200000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9970,  Xe anpha 2003 bs 95,16.500.000 đ ,Honda,Wave,2003,30000,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9971,  chính chủ bán moto KTM bảng đặc biệt ABS 2019,65.000.000 đ ,Kymco,Candy Hi,2019,160000,Đã sử dụng,Trên 175 cc,Tay côn/Moto,Sóc Trăng
9972,  XeMayNamThi Acruzo fi 2017 đẹp zin 29E2,16.500.000 đ ,Yamaha,Acruzo,2018,18000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9973,  cần bán xe wa liên doamh,5.300.000 đ ,Daelim,RoadWin125,2009,26,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9974,  AB FI 2011,14.300.000 đ ,Honda,Air Blade,2011,30000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9975,  ❤️Honda AirBlade BSTP. Xe cứng cáp. Máy gin GÓP,14.900.000 đ ,Honda,Air Blade,2012,12345,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9976,  vision xe mới như hét,31.000.000 đ ,Honda,Vision,2022,2600,Đã sử dụng,Dưới 50 cc,Tay ga,Sóc Trăng
9977,  Cửa hàng cần thanh lí Sỉius 2014 xe ít đi,11.500.000 đ ,Yamaha,Sirius,2014,16000,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9978,  cần bán raider.máy zin.có bán góp,21.000.000 đ ,Suzuki,Raider,2018,26000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,Sóc Trăng
9979,  Honda Blade,13.800.000 đ ,Honda,Blade,2019,9999,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9980,  Can ban future 1,28.000.000 đ ,Honda,Future,2003,8888,Đã sử dụng,Dưới 50 cc,Xe số,Sóc Trăng
9981,  Cầm đồ thanh lý sirius Dk 2016 máy zin êm,9.000.000 đ ,Yamaha,Sirius,2016,26000,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9982,  [XE THÁI MÁY TURBO]🆘 Yamaha Sirus Thái 2008 Turbo🆘,9.500.000 đ ,Yamaha,Sirius,2008,21500,Đã sử dụng,Dưới 50 cc,Xe số,Sóc Trăng
9983,  Xe axelo giao lưu nouvo hoạc xe khác,8.500.000 đ ,Suzuki,Axelo,2014,6000,Đã sử dụng,100 - 175 cc,Tay côn/Moto,Sóc Trăng
9984,  Honda FUTERE.đẹp nguyên zin.máy êm.tp.chính chủ,18.500.000 đ ,Honda,Future,2012,22000,Đã sử dụng,100 - 175 cc,Xe số,Sóc Trăng
9985,  Airblade 110 MÁY ZIN ÊM BS60,8.800.000 đ ,Suzuki,Raider,2009,30000,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9986,"  click biển tp áo cứng cáp, máy êm- có hỗ trợ góp",10.800.000 đ ,Honda,Click,2010,30,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9987,  Vespa S125cc.IGet Fux 2020 Tuyệt Đẹp.BSTPChính Chủ,55.500.000 đ ,Piaggio,Vespa,2020,1,Đã sử dụng,100 - 175 cc,Tay ga,Sóc Trăng
9988,  xe wave@ 2018 cần thơ,10.500.000 đ ,Honda,Wave,2018,45000,Đã sử dụng,Dưới 50 cc,Xe số,Sóc Trăng
9989,  SH modeo ABS,54.000.000 đ ,Honda,SH Mode,2019,8500,Đã sử dụng,Dưới 50 cc,Tay ga,Sóc Trăng
